split,model,used_features,HR@10,NDCG@10,Recall@10,num_eval_groups
validation,baseline,user_id + movie_id,0.4501061571125265,0.2410205689867373,0.4501061571125265,942
validation,time,user_id + movie_id + time context,0.4384288747346072,0.2404796411765438,0.4384288747346072,942
validation,user,user_id + movie_id + user context,0.435244161358811,0.2397987811783352,0.435244161358811,942
validation,movie,user_id + movie_id + movie context,0.4501061571125265,0.2421746731617476,0.4501061571125265,942
validation,full,user_id + movie_id + time + user + movie context,0.4819532908704883,0.2549330561380077,0.4819532908704883,942
test,baseline,user_id + movie_id,0.4288747346072187,0.2467426387942221,0.4288747346072187,942
test,time,user_id + movie_id + time context,0.42356687898089174,0.23574346845207614,0.42356687898089174,942
test,user,user_id + movie_id + user context,0.42356687898089174,0.23799344945448614,0.42356687898089174,942
test,movie,user_id + movie_id + movie context,0.43842887473460723,0.24597218028813683,0.43842887473460723,942
test,full,user_id + movie_id + time + user + movie context,0.4607218683651805,0.2528671501116509,0.4607218683651805,942
